rational,denominator,classification,period,transient
1/2,2,REACHES_ONE,0,1
1/3,3,PERIODIC,2,0
2/3,3,PERIODIC,2,0
1/4,4,REACHES_ONE,0,2
1/2,4,REACHES_ONE,0,1
3/4,4,REACHES_ONE,0,2
1/5,5,PERIODIC,4,0
2/5,5,PERIODIC,4,0
3/5,5,PERIODIC,4,0
4/5,5,PERIODIC,4,0
1/6,6,PERIODIC,2,0
1/3,6,PERIODIC,2,0
1/2,6,REACHES_ONE,0,1
2/3,6,PERIODIC,2,0
5/6,6,PERIODIC,2,0
1/7,7,PERIODIC,3,0
2/7,7,PERIODIC,3,0
3/7,7,PERIODIC,3,0
4/7,7,PERIODIC,3,0
5/7,7,PERIODIC,3,0
6/7,7,PERIODIC,3,0
1/8,8,REACHES_ONE,0,3
1/4,8,REACHES_ONE,0,2
3/8,8,REACHES_ONE,0,3
1/2,8,REACHES_ONE,0,1
5/8,8,REACHES_ONE,0,3
3/4,8,REACHES_ONE,0,2
7/8,8,REACHES_ONE,0,3
1/9,9,PERIODIC,6,0
2/9,9,PERIODIC,6,0
1/3,9,PERIODIC,2,0
4/9,9,PERIODIC,6,0
5/9,9,PERIODIC,6,0
2/3,9,PERIODIC,2,0
7/9,9,PERIODIC,6,0
8/9,9,PERIODIC,6,0
1/10,10,PERIODIC,4,0
1/5,10,PERIODIC,4,0
3/10,10,PERIODIC,4,0
2/5,10,PERIODIC,4,0
1/2,10,REACHES_ONE,0,1
3/5,10,PERIODIC,4,0
7/10,10,PERIODIC,4,0
4/5,10,PERIODIC,4,0
9/10,10,PERIODIC,4,0
1/11,11,PERIODIC,10,0
2/11,11,PERIODIC,10,0
3/11,11,PERIODIC,10,0
4/11,11,PERIODIC,10,0
5/11,11,PERIODIC,10,0
6/11,11,PERIODIC,10,0
7/11,11,PERIODIC,10,0
8/11,11,PERIODIC,10,0
9/11,11,PERIODIC,10,0
10/11,11,PERIODIC,10,0
1/12,12,PERIODIC,2,1
1/6,12,PERIODIC,2,0
1/4,12,REACHES_ONE,0,2
1/3,12,PERIODIC,2,0
5/12,12,PERIODIC,2,1
1/2,12,REACHES_ONE,0,1
7/12,12,PERIODIC,2,1
2/3,12,PERIODIC,2,0
3/4,12,REACHES_ONE,0,2
5/6,12,PERIODIC,2,0
11/12,12,PERIODIC,2,1
1/13,13,PERIODIC,12,0
2/13,13,PERIODIC,12,0
3/13,13,PERIODIC,12,0
4/13,13,PERIODIC,12,0
5/13,13,PERIODIC,12,0
6/13,13,PERIODIC,12,0
7/13,13,PERIODIC,12,0
8/13,13,PERIODIC,12,0
9/13,13,PERIODIC,12,0
10/13,13,PERIODIC,12,0
11/13,13,PERIODIC,12,0
12/13,13,PERIODIC,12,0
1/14,14,PERIODIC,3,0
1/7,14,PERIODIC,3,0
3/14,14,PERIODIC,3,0
2/7,14,PERIODIC,3,0
5/14,14,PERIODIC,3,0
3/7,14,PERIODIC,3,0
1/2,14,REACHES_ONE,0,1
4/7,14,PERIODIC,3,0
9/14,14,PERIODIC,3,0
5/7,14,PERIODIC,3,0
11/14,14,PERIODIC,3,0
6/7,14,PERIODIC,3,0
13/14,14,PERIODIC,3,0
1/15,15,PERIODIC,4,0
2/15,15,PERIODIC,4,0
1/5,15,PERIODIC,4,0
4/15,15,PERIODIC,4,0
1/3,15,PERIODIC,2,0
2/5,15,PERIODIC,4,0
7/15,15,PERIODIC,4,0
8/15,15,PERIODIC,4,0
3/5,15,PERIODIC,4,0
2/3,15,PERIODIC,2,0
11/15,15,PERIODIC,4,0
4/5,15,PERIODIC,4,0
13/15,15,PERIODIC,4,0
14/15,15,PERIODIC,4,0
1/16,16,REACHES_ONE,0,4
1/8,16,REACHES_ONE,0,3
3/16,16,REACHES_ONE,0,4
1/4,16,REACHES_ONE,0,2
5/16,16,REACHES_ONE,0,4
