depth,tower_2d,coupling_m2,gap_to_one_m2,coupling_m3,gap_to_one_m3,coupling_m5,gap_to_one_m5,coupling_m7,gap_to_one_m7,EM_coupling
0,1,2/3,1/3,3/4,1/4,5/6,1/6,7/8,1/8,1/2
1,2,3/4,1/4,4/5,1/5,6/7,1/7,8/9,1/9,1/2
2,4,5/6,1/6,6/7,1/7,8/9,1/9,10/11,1/11,1/2
3,8,9/10,1/10,10/11,1/11,12/13,1/13,14/15,1/15,1/2
4,16,17/18,1/18,18/19,1/19,20/21,1/21,22/23,1/23,1/2
5,32,33/34,1/34,34/35,1/35,36/37,1/37,38/39,1/39,1/2
6,64,65/66,1/66,66/67,1/67,68/69,1/69,70/71,1/71,1/2
7,128,129/130,1/130,130/131,1/131,132/133,1/133,134/135,1/135,1/2
8,256,257/258,1/258,258/259,1/259,260/261,1/261,262/263,1/263,1/2
9,512,513/514,1/514,514/515,1/515,516/517,1/517,518/519,1/519,1/2
10,1024,1025/1026,1/1026,1026/1027,1/1027,1028/1029,1/1029,1030/1031,1/1031,1/2
11,2048,2049/2050,1/2050,2050/2051,1/2051,2052/2053,1/2053,2054/2055,1/2055,1/2
12,4096,4097/4098,1/4098,4098/4099,1/4099,4100/4101,1/4101,4102/4103,1/4103,1/2
13,8192,8193/8194,1/8194,8194/8195,1/8195,8196/8197,1/8197,8198/8199,1/8199,1/2
14,16384,16385/16386,1/16386,16386/16387,1/16387,16388/16389,1/16389,16390/16391,1/16391,1/2
15,32768,32769/32770,1/32770,32770/32771,1/32771,32772/32773,1/32773,32774/32775,1/32775,1/2
16,65536,65537/65538,1/65538,65538/65539,1/65539,65540/65541,1/65541,65542/65543,1/65543,1/2
17,131072,131073/131074,1/131074,131074/131075,1/131075,131076/131077,1/131077,131078/131079,1/131079,1/2
18,262144,262145/262146,1/262146,262146/262147,1/262147,262148/262149,1/262149,262150/262151,1/262151,1/2
19,524288,524289/524290,1/524290,524290/524291,1/524291,524292/524293,1/524293,524294/524295,1/524295,1/2
20,1048576,1048577/1048578,1/1048578,1048578/1048579,1/1048579,1048580/1048581,1/1048581,1048582/1048583,1/1048583,1/2
21,2097152,2097153/2097154,1/2097154,2097154/2097155,1/2097155,2097156/2097157,1/2097157,2097158/2097159,1/2097159,1/2
